candidate,office,district,party,county,precinct,votes,vtd
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 3-2,4,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 3-2,347,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 3-2,11,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 3-2,13,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 3-2,326,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 3-2,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 3-2,12,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 3-2,5,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 3-2,8,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 3-2,324,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 3-2,15,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 3-2,14,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 3-2,330,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 3-2,325,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 3-2,18,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 3-2,329,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 3-2,24,
Broderick Henderson,State House,35,Democratic,Wyandotte,Kansas City 3-2,333,
,Registered Voters,,,Wyandotte,Kansas City 3-3,166,
,Ballots Cast,,,Wyandotte,Kansas City 3-3,72,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 3-3,2,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 3-3,64,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 3-3,3,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 3-3,3,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 3-3,65,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 3-3,0,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 3-3,2,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 3-3,1,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 3-3,1,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 3-3,60,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 3-3,6,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 3-3,4,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 3-3,65,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 3-3,67,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 3-3,2,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 3-3,65,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 3-3,6,
Broderick Henderson,State House,35,Democratic,Wyandotte,Kansas City 3-3,63,
,Registered Voters,,,Wyandotte,Kansas City 3-4,690,
,Ballots Cast,,,Wyandotte,Kansas City 3-4,253,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 3-4,3,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 3-4,240,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 3-4,8,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 3-4,8,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 3-4,234,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 3-4,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 3-4,4,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 3-4,4,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 3-4,7,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 3-4,230,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 3-4,11,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 3-4,7,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 3-4,241,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 3-4,236,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 3-4,11,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 3-4,239,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 3-4,7,
Valdenia C. Winn,State House,34,Democratic,Wyandotte,Kansas City 3-4,232,
,Registered Voters,,,Wyandotte,Kansas City 4-1,701,
,Ballots Cast,,,Wyandotte,Kansas City 4-1,293,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 4-1,6,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 4-1,231,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 4-1,56,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 4-1,14,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 4-1,217,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 4-1,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 4-1,50,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 4-1,9,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 4-1,12,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 4-1,216,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 4-1,57,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 4-1,61,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 4-1,224,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 4-1,228,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 4-1,59,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 4-1,228,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 4-1,56,
Pam Curtis,State House,32,Democratic,Wyandotte,Kansas City 4-1,243,
,Registered Voters,,,Wyandotte,Kansas City 4-2,287,
,Ballots Cast,,,Wyandotte,Kansas City 4-2,112,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 4-2,2,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 4-2,89,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 4-2,21,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 4-2,6,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 4-2,80,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 4-2,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 4-2,18,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 4-2,5,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 4-2,2,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 4-2,88,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 4-2,21,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 4-2,23,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 4-2,89,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 4-2,90,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 4-2,21,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 4-2,88,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 4-2,22,
Pam Curtis,State House,32,Democratic,Wyandotte,Kansas City 4-2,100,
,Registered Voters,,,Wyandotte,Kansas City 4-3,501,
,Ballots Cast,,,Wyandotte,Kansas City 4-3,235,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 4-3,10,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 4-3,177,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 4-3,43,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 4-3,5,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 4-3,173,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 4-3,3,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 4-3,41,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 4-3,8,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 4-3,9,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 4-3,169,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 4-3,48,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 4-3,49,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 4-3,171,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 4-3,172,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 4-3,44,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 4-3,166,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 4-3,52,
Pam Curtis,State House,32,Democratic,Wyandotte,Kansas City 4-3,190,
,Registered Voters,,,Wyandotte,Kansas City 4-4,818,
,Ballots Cast,,,Wyandotte,Kansas City 4-4,413,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 4-4,10,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 4-4,297,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 4-4,102,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 4-4,8,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 4-4,296,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 4-4,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 4-4,89,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 4-4,17,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 4-4,14,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 4-4,273,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 4-4,111,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 4-4,113,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 4-4,275,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 4-4,279,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 4-4,109,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 4-4,274,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 4-4,113,
Pam Curtis,State House,32,Democratic,Wyandotte,Kansas City 4-4,344,
,Registered Voters,,,Wyandotte,Kansas City 5-1,773,
,Ballots Cast,,,Wyandotte,Kansas City 5-1,359,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 5-1,14,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 5-1,271,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 5-1,67,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 5-1,15,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 5-1,265,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 5-1,3,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 5-1,56,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 5-1,15,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 5-1,9,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 5-1,267,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 5-1,68,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 5-1,71,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 5-1,276,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 5-1,273,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 5-1,70,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 5-1,265,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 5-1,77,
Pam Curtis,State House,32,Democratic,Wyandotte,Kansas City 5-1,296,
,Registered Voters,,,Wyandotte,Kansas City 5-2,411,
,Ballots Cast,,,Wyandotte,Kansas City 5-2,140,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 5-2,7,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 5-2,109,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 5-2,23,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 5-2,5,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 5-2,106,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 5-2,2,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 5-2,12,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 5-2,12,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 5-2,7,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 5-2,96,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 5-2,30,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 5-2,24,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 5-2,109,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 5-2,101,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 5-2,30,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 5-2,103,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 5-2,26,
Pam Curtis,State House,32,Democratic,Wyandotte,Kansas City 5-2,118,
,Registered Voters,,,Wyandotte,Kansas City 5-3,392,
,Ballots Cast,,,Wyandotte,Kansas City 5-3,133,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 5-3,4,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 5-3,108,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 5-3,19,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 5-3,4,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 5-3,103,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 5-3,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 5-3,19,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 5-3,4,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 5-3,3,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 5-3,101,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 5-3,24,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 5-3,21,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 5-3,106,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 5-3,104,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 5-3,21,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 5-3,102,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 5-3,20,
Pam Curtis,State House,32,Democratic,Wyandotte,Kansas City 5-3,106,
,Registered Voters,,,Wyandotte,Kansas City 5-4,370,
,Ballots Cast,,,Wyandotte,Kansas City 5-4,120,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 5-4,2,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 5-4,99,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 5-4,18,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 5-4,4,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 5-4,95,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 5-4,0,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 5-4,16,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 5-4,3,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 5-4,3,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 5-4,92,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 5-4,16,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 5-4,18,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 5-4,96,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 5-4,94,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 5-4,19,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 5-4,96,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 5-4,19,
Pam Curtis,State House,32,Democratic,Wyandotte,Kansas City 5-4,99,
,Registered Voters,,,Wyandotte,Kansas City 5-5,473,
,Ballots Cast,,,Wyandotte,Kansas City 5-5,183,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 5-5,7,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 5-5,130,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 5-5,44,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 5-5,7,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 5-5,126,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 5-5,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 5-5,39,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 5-5,9,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 5-5,7,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 5-5,126,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 5-5,46,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 5-5,51,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 5-5,128,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 5-5,130,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 5-5,50,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 5-5,124,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 5-5,54,
Pam Curtis,State House,32,Democratic,Wyandotte,Kansas City 5-5,143,
,Registered Voters,,,Wyandotte,Kansas City 6-1,509,
,Ballots Cast,,,Wyandotte,Kansas City 6-1,206,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 6-1,6,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 6-1,145,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 6-1,52,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 6-1,6,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 6-1,135,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 6-1,3,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 6-1,48,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 6-1,10,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 6-1,4,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 6-1,128,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 6-1,64,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 6-1,57,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 6-1,143,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 6-1,138,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 6-1,59,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 6-1,135,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 6-1,62,
Pam Curtis,State House,32,Democratic,Wyandotte,Kansas City 6-1,156,
,Registered Voters,,,Wyandotte,Kansas City 6-2,198,
,Ballots Cast,,,Wyandotte,Kansas City 6-2,63,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 6-2,1,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 6-2,42,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 6-2,19,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 6-2,1,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 6-2,41,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 6-2,0,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 6-2,20,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 6-2,1,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 6-2,3,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 6-2,37,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 6-2,23,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 6-2,20,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 6-2,43,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 6-2,41,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 6-2,21,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 6-2,41,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 6-2,19,
Pam Curtis,State House,32,Democratic,Wyandotte,Kansas City 6-2,42,
,Registered Voters,,,Wyandotte,Kansas City 7-1,523,
,Ballots Cast,,,Wyandotte,Kansas City 7-1,248,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 7-1,10,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 7-1,154,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 7-1,82,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 7-1,13,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 7-1,145,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 7-1,7,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 7-1,70,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 7-1,11,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 7-1,9,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 7-1,149,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 7-1,86,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 7-1,79,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 7-1,160,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 7-1,156,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 7-1,86,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 7-1,157,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 7-1,84,
Louis E. Ruiz,State House,31,Democratic,Wyandotte,Kansas City 7-1,195,
,Registered Voters,,,Wyandotte,Kansas City 7-2,418,
,Ballots Cast,,,Wyandotte,Kansas City 7-2,196,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 7-2,4,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 7-2,151,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 7-2,39,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 7-2,6,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 7-2,143,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 7-2,2,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 7-2,34,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 7-2,8,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 7-2,11,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 7-2,134,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 7-2,45,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 7-2,39,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 7-2,149,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 7-2,148,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 7-2,45,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 7-2,145,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 7-2,44,
Louis E. Ruiz,State House,31,Democratic,Wyandotte,Kansas City 7-2,157,
,Registered Voters,,,Wyandotte,Kansas City 7-3,638,
,Ballots Cast,,,Wyandotte,Kansas City 7-3,288,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 7-3,5,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 7-3,220,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 7-3,61,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 7-3,6,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 7-3,210,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 7-3,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 7-3,56,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 7-3,9,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 7-3,8,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 7-3,205,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 7-3,65,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 7-3,65,
